prancha,categoria,ficheiro,largura,altura
1,Sprites e recursos integrados (1/13),Assets/Source/Kraken/pixil-layer-0.png,570,990
1,Sprites e recursos integrados (1/13),Assets/Source/Kraken/pixil-layer-1.png,570,990
1,Sprites e recursos integrados (1/13),Assets/Source/Kraken/pixil-layer-10.png,570,990
1,Sprites e recursos integrados (1/13),Assets/Source/Kraken/pixil-layer-11.png,570,990
1,Sprites e recursos integrados (1/13),Assets/Source/Kraken/pixil-layer-12.png,570,990
1,Sprites e recursos integrados (1/13),Assets/Source/Kraken/pixil-layer-13.png,570,990
1,Sprites e recursos integrados (1/13),Assets/Source/Kraken/pixil-layer-2.png,570,990
1,Sprites e recursos integrados (1/13),Assets/Source/Kraken/pixil-layer-3.png,570,990
1,Sprites e recursos integrados (1/13),Assets/Source/Kraken/pixil-layer-4.png,570,990
1,Sprites e recursos integrados (1/13),Assets/Source/Kraken/pixil-layer-5.png,570,990
1,Sprites e recursos integrados (1/13),Assets/Source/Kraken/pixil-layer-6.png,570,990
1,Sprites e recursos integrados (1/13),Assets/Source/Kraken/pixil-layer-7.png,570,990
1,Sprites e recursos integrados (1/13),Assets/Source/Kraken/pixil-layer-8.png,570,990
1,Sprites e recursos integrados (1/13),Assets/Source/Kraken/pixil-layer-9.png,570,990
1,Sprites e recursos integrados (1/13),Content/Backgrounds/KrakenFogClouds.png,2048,1024
1,Sprites e recursos integrados (1/13),Content/Backgrounds/KrakenGalaxyClose.png,1920,1080
1,Sprites e recursos integrados (1/13),Content/Backgrounds/KrakenGalaxyFar.png,1920,1080
1,Sprites e recursos integrados (1/13),Content/Backgrounds/KrakenGalaxyGlow.png,1280,720
1,Sprites e recursos integrados (1/13),Content/Backgrounds/KrakenGalaxyMiddle.png,1920,1080
1,Sprites e recursos integrados (1/13),Content/Backgrounds/KrakenOceanClose.png,2048,1024
2,Sprites e recursos integrados (2/13),Content/Backgrounds/KrakenOceanFar.png,2048,1024
2,Sprites e recursos integrados (2/13),Content/Backgrounds/KrakenOceanMiddle.png,2048,1024
2,Sprites e recursos integrados (2/13),Content/Backgrounds/KrakenParallaxClouds.png,2048,1024
2,Sprites e recursos integrados (2/13),Content/Effects/KrakenAlienFog.png,1600,900
2,Sprites e recursos integrados (2/13),Content/Effects/KrakenInkGoo.png,768,576
2,Sprites e recursos integrados (2/13),Content/Effects/KrakenInkSplash0.png,200,200
2,Sprites e recursos integrados (2/13),Content/Effects/KrakenInkSplash1.png,200,200
