index	name	kind	tier	variant
0	TimberSabre	Melee	0	0
1	TimberPike	Melee	0	1
2	GelbornSabre	Melee	1	0
3	GelbornPike	Melee	1	1
4	GelbornChakram	Melee	1	2
5	DemonSabre	Melee	2	0
6	DemonPike	Melee	2	1
7	DemonChakram	Melee	2	2
8	HiveSabre	Melee	3	0
9	HivePike	Melee	3	1
10	HiveChakram	Melee	3	2
11	DungeonSabre	Melee	4	0
12	DungeonPike	Melee	4	1
13	DungeonChakram	Melee	4	2
14	InfernalSabre	Melee	5	0
15	InfernalPike	Melee	5	1
16	InfernalChakram	Melee	5	2
17	CobaltSabre	Melee	6	0
18	CobaltPike	Melee	6	1
19	CobaltChakram	Melee	6	2
20	HallowedSabre	Melee	7	0
21	HallowedPike	Melee	7	1
22	HallowedChakram	Melee	7	2
23	ChlorophyteSabre	Melee	8	0
24	ChlorophytePike	Melee	8	1
25	ChlorophyteChakram	Melee	8	2
26	TempleSabre	Melee	9	0
27	TemplePike	Melee	9	1
28	TempleChakram	Melee	9	2
29	LunarSabre	Melee	10	0
30	LunarPike	Melee	10	1
31	LunarChakram	Melee	10	2
32	CelestialSabre	Melee	11	0
33	CelestialPike	Melee	11	1
34	CelestialChakram	Melee	11	2
35	MonthraSabre	Melee	12	0
36	MonthraPike	Melee	12	1
37	MonthraChakram	Melee	12	2
38	CrystalineSabre	Melee	13	0
39	CrystalinePike	Melee	13	1
40	CrystalineChakram	Melee	13	2
41	KrakenbaneSabre	Melee	14	0
42	KrakenbanePike	Melee	14	1
43	KrakenbaneChakram	Melee	14	2
44	AbyssalSabre	Melee	15	0
45	AbyssalPike	Melee	15	1
46	AbyssalChakram	Melee	15	2
47	ChaoticSabre	Melee	16	0
48	ChaoticPike	Melee	16	1
49	ChaoticChakram	Melee	16	2
50	TimberLongbow	Ranged	0	0
51	TimberCarbine	Ranged	0	1
52	GelbornLongbow	Ranged	1	0
53	GelbornCarbine	Ranged	1	1
54	DemonLongbow	Ranged	2	0
55	DemonCarbine	Ranged	2	1
56	HiveLongbow	Ranged	3	0
57	HiveCarbine	Ranged	3	1
58	DungeonLongbow	Ranged	4	0
59	DungeonCarbine	Ranged	4	1
60	InfernalLongbow	Ranged	5	0
61	InfernalCarbine	Ranged	5	1
62	CobaltLongbow	Ranged	6	0
63	CobaltCarbine	Ranged	6	1
64	CobaltLauncher	Ranged	6	2
65	HallowedLongbow	Ranged	7	0
66	HallowedCarbine	Ranged	7	1
67	HallowedLauncher	Ranged	7	2
68	ChlorophyteLongbow	Ranged	8	0
69	ChlorophyteCarbine	Ranged	8	1
70	ChlorophyteLauncher	Ranged	8	2
71	TempleLongbow	Ranged	9	0
72	TempleCarbine	Ranged	9	1
73	TempleLauncher	Ranged	9	2
74	LunarLongbow	Ranged	10	0
75	LunarCarbine	Ranged	10	1
76	LunarLauncher	Ranged	10	2
77	CelestialLongbow	Ranged	11	0
78	CelestialCarbine	Ranged	11	1
79	CelestialLauncher	Ranged	11	2
80	MonthraLongbow	Ranged	12	0
81	MonthraCarbine	Ranged	12	1
82	MonthraLauncher	Ranged	12	2
83	CrystalineLongbow	Ranged	13	0
84	CrystalineCarbine	Ranged	13	1
85	CrystalineLauncher	Ranged	13	2
86	KrakenbaneLongbow	Ranged	14	0
87	KrakenbaneCarbine	Ranged	14	1
88	KrakenbaneLauncher	Ranged	14	2
89	AbyssalLongbow	Ranged	15	0
90	AbyssalCarbine	Ranged	15	1
91	AbyssalLauncher	Ranged	15	2
92	ChaoticLongbow	Ranged	16	0
93	ChaoticCarbine	Ranged	16	1
94	ChaoticLauncher	Ranged	16	2
95	TimberScepter	Magic	0	0
96	TimberGrimoire	Magic	0	1
97	GelbornScepter	Magic	1	0
98	GelbornGrimoire	Magic	1	1
99	DemonScepter	Magic	2	0
100	DemonGrimoire	Magic	2	1
101	HiveScepter	Magic	3	0
102	HiveGrimoire	Magic	3	1
103	DungeonScepter	Magic	4	0
104	DungeonGrimoire	Magic	4	1
105	InfernalScepter	Magic	5	0
106	InfernalGrimoire	Magic	5	1
107	CobaltScepter	Magic	6	0
108	CobaltGrimoire	Magic	6	1
109	CobaltPrism	Magic	6	2
110	HallowedScepter	Magic	7	0
111	HallowedGrimoire	Magic	7	1
112	HallowedPrism	Magic	7	2
113	ChlorophyteScepter	Magic	8	0
114	ChlorophyteGrimoire	Magic	8	1
115	ChlorophytePrism	Magic	8	2
116	TempleScepter	Magic	9	0
117	TempleGrimoire	Magic	9	1
118	TemplePrism	Magic	9	2
119	LunarScepter	Magic	10	0
120	LunarGrimoire	Magic	10	1
121	LunarPrism	Magic	10	2
122	CelestialScepter	Magic	11	0
123	CelestialGrimoire	Magic	11	1
124	CelestialPrism	Magic	11	2
125	MonthraScepter	Magic	12	0
126	MonthraGrimoire	Magic	12	1
127	MonthraPrism	Magic	12	2
128	CrystalineScepter	Magic	13	0
129	CrystalineGrimoire	Magic	13	1
130	CrystalinePrism	Magic	13	2
131	KrakenbaneScepter	Magic	14	0
132	KrakenbaneGrimoire	Magic	14	1
133	KrakenbanePrism	Magic	14	2
134	AbyssalScepter	Magic	15	0
135	AbyssalGrimoire	Magic	15	1
136	AbyssalPrism	Magic	15	2
137	ChaoticScepter	Magic	16	0
138	ChaoticGrimoire	Magic	16	1
139	ChaoticPrism	Magic	16	2
140	TimberIdol	Summon	0	0
141	TimberLash	Summon	0	1
142	GelbornIdol	Summon	1	0
143	GelbornLash	Summon	1	1
144	DemonIdol	Summon	2	0
145	DemonLash	Summon	2	1
146	HiveIdol	Summon	3	0
147	HiveLash	Summon	3	1
148	DungeonIdol	Summon	4	0
149	DungeonLash	Summon	4	1
150	InfernalIdol	Summon	5	0
151	InfernalLash	Summon	5	1
152	CobaltIdol	Summon	6	0
153	CobaltLash	Summon	6	1
154	CobaltBeacon	Summon	6	2
155	HallowedIdol	Summon	7	0
